ticker,10year,fundname,social,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Impact
PORTX/,5.54,Portfolio 21 Global Equity Fund,X,C,C,C,--,*
MBAPX,5.53,Praxis Genesis Balanced A,P,P,P,P,--,Yes
MCONX,--,Praxis Genesis Conservative A,P,P,P,P,--,Yes
MGAFX,5.47,Praxis Genesis Growth A,P,P,P,P,--,Yes
MMDEX,--,Praxis Growth Index Fund - Institutional,P,P,P,P,--,Yes
MGNDX,12.27,Praxis Growth Index Fund A,P,P,P,P,--,Yes
MIIIX,12.56,Praxis Intermediate Income - Institutional,P,P,P,P,--,Yes
MIIAX,11.08,Praxis Intermediate Income A,P,P,P,P,--,Yes
MPLAX,13.76,Praxis International Index A,P,P,P,P,--,Yes
MPLIX,11.35,Praxis International Index Fund - Institutional,P,P,P,P,--,Yes
MMSIX,--,Praxis Small Cap Fund - Institutional,P,P,P,P,--,Yes
MMSCX,--,Praxis Small Cap Fund A,P,P,P,P,--,Yes
MVIIX,--,Praxis Value Index - Institutional,P,P,P,P,--,Yes
MVIAX,10.5,Praxis Value Index A,P,P,P,P,--,*
SEBFX,--,Saturna Sustainable Bond Fund,C,C,C,C,--,No
SEEFX,11.28,Saturna Sustainable Equity Fund,C,C,C,C,--,No
TSBIX,14.84,TIAA-CREF Social Choice Bond Institutional,P,P,P,P,X,Yes
TSBPX,15.16,TIAA-CREF Social Choice Bond Premier,P,P,P,P,X,Yes
TSBRX,14.99,TIAA-CREF Social Choice Bond Retail,P,P,P,P,X,Yes
TSBBX,14.88,TIAA-CREF Social Choice Bond Retirement,P,P,P,P,X,Yes
TISCX,--,TIAA-CREF Social Choice Equity Institutional,P,P,P,P,X,No
TRPSX,--,TIAA-CREF Social Choice Equity Premier,P,P,P,P,X,No
TICRX,--,TIAA-CREF Social Choice Equity Retail,P,P,P,P,X,No
TRSCX,--,TIAA-CREF Social Choice Equity Retirement,P,P,P,P,X,No
TSMDX,--,Trillium Small/Mid Cap Mutual Fund,--,C,C,C,C,No
VGSRX,--,Vert Global Sustainable Real Estate Fund,C,C,C,C,C,No
WSBFX,12.59,Walden Asset Management Fund,C,C,R,C,--,No
WSEFX,--,Walden Equity Fund,C,C,R,C,--,No
WAMFX,--,Walden Midcap Fund,C,C,R,C,--,No
WASOX,10.41,Walden Small Cap Innovations Fund,P,P,R,P,--,*
WASMX,14.27,Walden SMID Cap Innovations Fund,P,P,R,P,--,No
ZSRIX,--,Zeo Sustainable Credit Fund,C,C,C,C,C,No
