Ticker,Key,Climate/Clean Tech,Pollution/Toxics,Environment/Other,Community Development,Diversity & EEO,Human Rights,Labor Relations,Conflict Risk,Board Issues,Executive Pay,E,E,E,E,E,E,E
PXWIX,Pax Ellevate Global Women's Leadership Fund - Institutional Class,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R,--,
PAXDX,Pax ESG Beta Dividend Fund Individual,--,--,C,--,C,C,C,R,C,C,C,C,X,--,X,--,
PXDIX,Pax ESG Beta Dividend Fund Institutional,--,--,C,--,C,C,C,R,C,C,C,C,X,--,X,--,
PXGAX,Pax ESG Beta Quality Fund - Class A,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PXWGX,Pax ESG Beta Quality Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PWGIX,Pax ESG Beta Quality Fund - Institutional Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PGRNX,Pax Global Environmental Markets Fund - Individual Investor,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PGINX,Pax Global Environmental Markets Fund - Institutional Class,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PXEAX,Pax Global Environmental Markets Fund A,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PAXHX,Pax High Yield Bond Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PXHIX,Pax High Yield Bond Fund - Institutional Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PXHAX,Pax High Yield Bond Fund A,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PAXLX,Pax Large Cap Fund Individual,--,--,C,C,C,C,C,R,C,C,C,C,X,--,X,--,
PXLIX,Pax Large Cap Fund Intitutional,--,--,C,C,C,C,C,R,C,C,C,C,X,--,X,--,
PXINX,Pax MSCI EAFE ESG Leaders Index Fund - Individual Investor,C,C,C,C,C,C,C,--,C,C,--,--,X,--,R,--,
PXNIX,Pax MSCI EAFE ESG Leaders Index Fund - Institutional Class,C,C,C,C,C,C,C,--,C,C,--,--,X,--,R,--,
PXSCX,Pax Small Cap Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PXSIX,Pax Small Cap Fund - Institutional Class,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PXSAX,Pax Small Cap Fund A,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PAXWX,Pax Sustainable Allocation Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PAXIX,Pax Sustainable Allocation Fund - Institutional Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,--,
PCEIX,PIMCO Climate Bond Fund,C *,R,C,P,C,R,R,R,C,P,R,R,R,R,R,,
PEGIX,PIMCO ESG Income Fund,C *,R,C,P,C,R,R,R,C,P,R,R,R,R,R,,
PLDIX,PIMCO Low Duration ESG Fund,C *,R,C,P,C,R,R,R,C,P,R,R,R,R,R,,
PTSAX,PIMCO Total Return ESG Fund,C *,C,C,P,C,R,R,R,C,P,R,R,R,R,R,,
PORTX/,Portfolio 21 Global Equity Fund,R *,C,R,X,C,C,C,--,--,--,--,R,R,R,R,--,
MBAPX,Praxis Genesis Balanced A,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X,--,--
MCONX,Praxis Genesis Conservative A,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X,--,--
MGAFX,Praxis Genesis Growth A,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X,--,--
MMDEX,Praxis Growth Index Fund - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MGNDX,Praxis Growth Index Fund A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MIIIX,Praxis Intermediate Income - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MIIAX,Praxis Intermediate Income A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MPLAX,Praxis International Index A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MPLIX,Praxis International Index Fund - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MMSIX,Praxis Small Cap Fund - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MMSCX,Praxis Small Cap Fund A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MVIIX,Praxis Value Index - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
MVIAX,Praxis Value Index A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,--,--
SEBFX,Saturna Sustainable Bond Fund,C *,C,C,C,C,C,C,--,C,C,X,C,C,X,X,,--
SEEFX,Saturna Sustainable Equity Fund,C *,C,C,C,C,C,C,--,C,C,X,C,C,X,X,,--
TSBIX,TIAA-CREF Social Choice Bond Institutional,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TSBPX,TIAA-CREF Social Choice Bond Premier,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TSBRX,TIAA-CREF Social Choice Bond Retail,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TSBBX,TIAA-CREF Social Choice Bond Retirement,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TISCX,TIAA-CREF Social Choice Equity Institutional,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TRPSX,TIAA-CREF Social Choice Equity Premier,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TICRX,TIAA-CREF Social Choice Equity Retail,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TRSCX,TIAA-CREF Social Choice Equity Retirement,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,,
TSMDX,Trillium Small/Mid Cap Mutual Fund,C,C,C,--,C,C,C,C,C,C,--,C,C,C,X,--,
VGSRX,Vert Global Sustainable Real Estate Fund,C *,C,C,C,C,C,C,C,C,C,--,--,--,--,--,--,
WSBFX,Walden Asset Management Fund,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R,--,
WSEFX,Walden Equity Fund,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R,--,
WAMFX,Walden Midcap Fund,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R,--,
WASOX,Walden Small Cap Innovations Fund,P,P,P,P,P,R,P,--,--,--,R,R,R,R,R,--,
WASMX,Walden SMID Cap Innovations Fund,P,P,P,P,P,R,P,--,--,--,R,C,R,R,R,--,
ZSRIX,Zeo Sustainable Credit Fund,C,C,C,C,C,C,C,C,C,C,R,C,R,R,R,,
